,Average Battery Life (in hours),Batteries,Brand,Card Description,Chipset Brand,Color,Computer Memory Type,Flash Memory Size,Graphics Coprocessor,Hard Drive,Hard Drive Interface,Item Dimensions  LxWxH,Item Weight,Item model number,Max Screen Resolution,Memory Speed,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Operating System,Optical Drive Type,Power Source,Processor,Processor Brand,Processor Count,Product Dimensions,RAM,Series,Standing screen display size,Wireless Type,price,rating,Hard Drive Rotational Speed,Hardware Platform,Screen Resolution,Graphics Card Ram Size,Voltage,National Stock Number,Rear Webcam Resolution,Package Dimensions,ASIN,Date First Available,Manufacturer,Manufacturer Part Number,Ruling,Batteries Included?,Batteries Required?,Display Style,Included Components,Is Discontinued By Manufacturer,Item Package Quantity,Part Number,Size,Style,Usage,Warranty Description,Department
0,10 Hours,1 Lithium Polymer batteries required. (included),Acer,Integrated,AMD,Silver,DDR4 SDRAM,128,AMD Radeon Vega 6 Mobile Graphics,128 GB SSD,Solid State,14.31 x 9.86 x 0.71 inches,3.96 pounds,A515-46-R14K,1920 x 1080 Pixels,3.5 GHz,1,3,Windows 10 S,No Optical Drive,Battery Powered,3.5 GHz ryzen_3,AMD,4,14.31 x 9.86 x 0.71 inches,4 GB DDR4,A515-46-R14K,15.6 Inches,Bluetooth,$399.00,4.6,,,,,,,,,,,,,,,,,,,,,,,,,
1,6 Hours,1 Lithium ion batteries required. (included),Acer,RTX 3060,NVIDIA,Black,DDR4 SDRAM,512,,SSD,Solid State,14.31 x 10.04 x 0.9 inches,5.06 pounds,PH315-54-760S,1920x1080,4.6 GHz,,4,Windows 10 Home,No Optical Drive,Battery Powered,4.6 GHz core_i7,Intel,8,14.31 x 10.04 x 0.9 inches,16 GB DDR4,PH315-54-760S,15.6 Inches,802.11ax,"$1,228.95",4.7,,,,,,,,,,,,,,,,,,,,,,,,,
2,8 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Natural Silver,DDR4 SDRAM,512,Intel Iris,512 GB SSD,,14.18 x 9.21 x 0.7 inches,3.86 pounds,15-eg0021nr,1920 x 1080 Pixels,,,,Windows 10 Pro,No Optical Drive,Battery Powered,4.7 GHz core_i7,Intel,4,14.18 x 9.21 x 0.7 inches,16 GB DDR4,HP Pavilion 15 Laptop,15.6 Inches,"Bluetooth, 802.11ax","$1,029.97",4.6,5400 RPM,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
3,8 Hours,1 Lithium Polymer batteries required. (included),HP,Integrated,Intel,Natural Silver,DDR4 SDRAM,256,Intel Iris,512 GB SSD,Solid State,14.11 x 9.53 x 0.71 inches,3.75 pounds,15-dy2021nr,1920 x 1080 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,4.2 GHz core_i5,Intel,4,14.11 x 9.53 x 0.71 inches,8 GB DDR4,HP 15 Laptop,15.6 Inches,"Bluetooth, 802.11ax",$555.00,4.5,5400 RPM,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
4,10 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Graphite Grey,DDR4 SDRAM,64,Intel Integrated Graphics,64 GB flash memory solid state,,12.2 x 8.43 x 0.67 inches,2.97 pounds,82B80006UX,1920 x 1080 Pixels,,,1,Chrome OS,No Optical Drive,Battery Powered,2.1 GHz core_i3,Intel,1,12.2 x 8.43 x 0.67 inches,4 GB DDR4,"ChromeBook Flex 5 13""",13.3 Inches,802.11ax,$342.99,4.5,,Chrome,,,,,,,,,,,,,,,,,,,,,,,
5,11 Hours,1 Lithium ion batteries required. (included),Acer,Dedicated,NVIDIA,Black,DDR4 SDRAM,256,NVIDIA GeForce RTX 3050,SSD,USB 3.2,14.31 x 10.04 x 0.94 inches,5.07 pounds,AN515-55-53E5,1920x1080,4.5 GHz,,4,Windows 10 Home,No Optical Drive,Battery Powered,4.5 GHz core_i5,Intel,4,14.31 x 10.04 x 0.94 inches,8 GB DDR4,AN515-55-53E5,15.6 Inches,Bluetooth,$769.95,4.7,,,,,,,,,,,,,,,,,,,,,,,,,
6,12 Hours,,ASUS,Integrated,Intel,Transparent Silver,DDR4 SDRAM,32,,32 GB emmc,USB 3.2,11.31 x 7.88 x 0.69 inches,2.65 pounds,CX1100CNA-AS42,,,,,Chrome OS,,Battery Powered,2.4 GHz celeron,Intel,2,11.31 x 7.88 x 0.69 inches,4 GB LPDDR4,ASUS Chromebook CX1,11.6 Inches,802.11ac,$205.00,4.2,,,,,,,,,,,,,,,,,,,,,,,,,
7,,1 Lithium ion batteries required. (included),ASUS,GeForce RTX 3050 Ti,NVIDIA,Eclipse Grey,DDR4 SDRAM,512,NVIDIA GeForce GTX 3050 Ti,512 GB SSD,Solid State,14.17 x 9.92 x 0.78 inches,4.41 pounds,TUF516PE-AB73,1920 x 1080 Pixels,3200 MHz,,4,Windows 10 Home,No Optical Drive,Battery Powered,4.8 GHz core_i7,Intel,8,14.17 x 9.92 x 0.78 inches,8 GB DDR4,ASUS TUF Dash,15.6 Inches,"Bluetooth, 802.11ax","$1,074.00",4.4,,PC,1920 x 1080 pixels,4 GB,20 Volts,,,,,,,,,,,,,,,,,,,,
8,10 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,Intel,Onyx Black,DDR4 SDRAM,32,Intel Integrated Graphics,Flash Memory Solid State,ESATA,11.02 x 7.87 x 0.67 inches,2.42 pounds,82BA0003US,1366 x 768 Pixels,2400 MHz,,2,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz celeron_n3450,Intel,1,11.02 x 7.87 x 0.67 inches,4 GB DDR4,"Chromebook 3 11""",11.6 Inches,"Bluetooth, 802.11ac",$187.00,4.4,,,,,,,,,,,,,,,,,,,,,,,,,
9,12 Hours,1 Lithium ion batteries required. (included),HP,Integrated,Intel,Mineral Silver,,4,Intel UHD Graphics 605,ssd,Solid State,12.81 x 8.65 x 0.72 inches,3.3 pounds,14a-ca0022nr,1366 x 768 Pixels,2400 MHz,,,Chrome OS,No Optical Drive,Battery Powered,1.1 GHz pentium_N5000,Intel,4,12.81 x 8.65 x 0.72 inches,4 GB DDR4,14a-ca0022nr,14 Inches,"802.11a/b/g/n/ac, Bluetooth",$379.99,4.5,,Chromebook,1366 x 768 pixels,,,,,,,,,,,,,,,,,,,,,,
10,10 Hours,1 Lithium Polymer batteries required. (included),Lenovo,Integrated,AMD,Graphite Grey,DDR4 SDRAM,,AMD Integrated Graphics,256 GB flash memory solid state,Solid State,12.66 x 8.56 x 0.82 inches,3.63 pounds,81X20005US,1920 x 1080 Pixels,2.1,,2,Windows 10,No Optical Drive,Battery Powered,2.1 GHz ryzen_5_4500u,AMD,1,12.66 x 8.56 x 0.82 inches,16 GB DDR4,"Flex 5 14""",14 Inches,802.11ac,$705.00,4.5,,PC,,,,,,,,,,,,,,,,,,,,,,,
11,12 Hours,1 Lithium Metal batteries required. (included),ASUS,Integrated,Intel,Black,DDR4 SDRAM,64,Intel UHD Graphics 600,64 GB eMMC,,11 x 7.5 x 0.67 inches,2.31 pounds,L210MA-DB01,1366X768 Pixels,2.8 GHz,1,,Windows 10 S,No Optical Drive,Battery Powered,2.8 GHz celeron_n4020,Intel,2,11 x 7.5 x 0.67 inches,4 GB DDR3,‎L210MA-DB01,11.6 Inches,802.11ac,$228.00,4.3,,PC,,,19 Volts,,,,,,,,,,,,,,,,,,,,
12,9 Hours,1 Lithium Polymer batteries required. (included),HP,Integrated,Intel,Natural Silver,DDR4 SDRAM,8,Intel Iris Xe,ssd,Solid State,12.76 x 8.7 x 0.71 inches,3.55 pounds,14-dw1024nr,1920 x 1080 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,4.2 GHz core_i5,Intel,4,12.76 x 8.7 x 0.71 inches,12 GB DDR4,14-dw1024nr,14 Inches,"Bluetooth, 802.11ax",$690.00,4.5,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
13,8 Hours,1 Lithium ion batteries required. (included),HP,Integrated,AMD,Natural Silver,DDR4 SDRAM,8,AMD Radeon,256 GB 256 GB,Solid State,12.76 x 8.86 x 0.71 inches,3.77 pounds,14-fq1021nr,1920 x 1080 Pixels,,,,Windows 10 Home,No Optical Drive,Battery Powered,4 GHz ryzen_5,AMD,6,12.76 x 8.86 x 0.71 inches,8 GB DDR4,14-fq1021nr,14 Inches,"Bluetooth, 802.11ax",$505.00,4.4,,PC,1920 x 1080 pixels,,,,,,,,,,,,,,,,,,,,,,
